Country;Overall Life Expectancy;Female Life Expectancy;Male Life Expectancy;Number of doctors per 1000 people
Zambia;63.5;66.4;60.5;0,1649
Namibia;63.4;66.2;60.4;0,4182
Kenya;63.3;68.7;64.0;0,17865
Uganda;63.0;65.2;60.7;0,10725
Niger;62.0;63.2;60.9;0,0433
Benin;61.5;63.0;59.9;0,0684
Burkina Faso;61.2;61.9;60.4;0,0481
Burundi;61.2;63.0;59.4;0,05195
Guinea;61.2;61.7;60.5;0,0855
Sub-Saharan Africa;61.2;62.9;59.4;0,191657863
Zimbabwe;61.2;62.6;59.5;0,1272
Angola;60.8;63.7;58.1;0,2146
Togo;60.8;61.6;59.9;0,0493
Mozambique;60.2;63.0;57.1;0,0535
Eswatini;59.4;64.0;55.3;0,2151
Cameroon;58.9;60.2;57.7;0,08615
Mali;58.9;59.6;58.1;0,1071
Equatorial Guinea;58.4;59.6;57.4;0,4017
Guinea-Bissau;58.0;59.9;56.0;0,0957
Nigeria;54.3;55.2;53.5;0,3817
Sierra Leone;54.3;55.1;53.5;0,02315
Chad;54.0;55.4;52.6;0,04395
Lesotho;53.7;57.0;50.6;0,0692
Central African Republic;52.8;55.0;50.6;0,0721
